images,institutionCode,sex,preparations,eventDate,year,month,day,country,stateProvince,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificName,infraspecificEpithet
,TMAG,,,,1938,,,Australia,Tasmania,-42.9,147.3,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Unknown,Skin | Dry,,,,,Australia,Queensland,,,,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,NMV,Unknown,Skin | Dry,,,,,Australia,Tasmania,-42.85,147.3,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,Male?,Skin,,,,,Papua New Guinea,,,,,Accipiter buergersi,Accipiter,
,SAMA,,Egg clutch,,,,,Australia,South Australia,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,Skin,,,,,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,,,,,,,,,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,,,,,Australia,Victoria,-37.55,143.85,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,,,,,,,Australia,New South Wales,-31.5,150.683,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,Not applicable,shell,1/01/1900,1900,,,Australia,Tasmania,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-33.466,144.983,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,Female,,,,,,Australia,New South Wales,-33.8,150.966,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,,,,,Australia,Tasmania,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,Male,,,1915,,,Australia,Tasmania,-43.09,147.01,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,,,,,,,Australia,New South Wales,-33.483,150.166,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,Female,,,1887,,,Australia,Tasmania,-40.77,145.31,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Female,,,1962,,,Australia,Tasmania,-43.01,147.04,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,,Skeleton,,,,,Australia,South Australia,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,,,,,Australia,Victoria,-36.1,143.72,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.38,144.33,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,AM,,,,,,,Australia,New South Wales,-33.283,149.1,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,,"ecatalogue.PrePrepDescription: ""Whole trunk in 75% ethanol""; ecatalogue.PreStorageMedium: ""75% ethanol"";",1/01/2002,,,,Australia,New South Wales,-31.25674,151.17445,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-33.833,151.133,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,Not applicable,shell,,,,,Australia,Western Australia,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-33.483,150.166,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,male,skeleton; wing,,,,,France,,,,,Accipiter haplochrous,Accipiter,
,TMAG,,,,,,,Australia,Tasmania,-43.03,147.05,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,Male,,,,,,Australia,New South Wales,-33.75,151.066,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,SAMA,Male,Skin,,,,,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-34.75,149.716,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,WAM,Unknown,Eggs,,,,,,,,,,,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-33.866,151.1,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,Not applicable,shell,1/01/1900,1900,,,Australia,Tasmania,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
"[""948f9948-f1ba-40a3-9af2-0c2399ceab60""]",NMV,,Egg | Dry,,,,,Australia,Victoria,-38.08,144.27,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,TMAG,Male,,,1939,,,Australia,Tasmania,-42.93,147.29,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,,,,,Australia,Queensland,-27.416667,152.9,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Male,,,1916,,,Australia,Tasmania,-42.9,147.3,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,TMAG,Male,,,,,,Australia,Tasmania,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,Male,,,,,,Australia,New South Wales,-33.816,149.316,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,QM,Male,Skeletal parts,,,,,,,,,,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,,,,,,,Australia,New South Wales,-33.483,150.166,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,,,,1916,,,Australia,Tasmania,-42.9,147.3,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,TMAG,Male,,,1990,,,Australia,Tasmania,-43.32,147.02,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,Male,,,,,,Australia,New South Wales,-33.416,149.583,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,,,,,,,,,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Female,,,1979,,,Australia,Tasmania,-43.03,147.05,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,TMAG,,,,1940,,,Australia,Tasmania,-42.63,147.22,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,probably female,skin,,,,,France,,,,,Accipiter haplochrous,Accipiter,
,QM,Female,Skin,,,,,Australia,Queensland,-17.266667,145.85,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Male,,,1993,,,Australia,Tasmania,-42.67,147.42,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skin | Dry,,1931,,,Australia,Queensland,-12.85,143.55,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,QVMAG,,,,,,,Australia,Tasmania,-41.53332,146.65,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Female,Skeleton (part) | Dry,,1993,,,Australia,New South Wales,-36.37,149.9,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,QM,Male,Skin,,,,,Australia,Queensland,-18.266667,146.016667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Male,,,1989,,,Australia,Tasmania,-42.88,147.32,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,Queensland,-27.533,152.7,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,Male,,,1989,,,Australia,Tasmania,-41.44,147.14,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,,Skeleton,1/01/1978,1978,,,Australia,South Australia,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,,,,,Australia,South Australia,-37.1167,140.7,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,Egg clutch,,,,,,,,,,"Accipiter novaehollandiae (JF Gmelin, 1788)",Accipiter (Leucospiza) novaehollandiae,
,NMV,Male,Skin | Dry,,,,,Australia,Queensland,,,,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,WAM,Unknown,Eggs,,,,,Australia,,,,,,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,,,,,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Male,Skin,,,,,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skeleton | Dry,,1975,,,Australia,Victoria,-37.08,147.58,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,TMAG,Female,,,1977,,,Australia,Tasmania,-42.89,147.31,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Unknown,Skin | Dry,,1931,,,Australia,Queensland,-12.85,143.55,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,SAMA,Female,Skin,,,,,Australia,South Australia,-34.9333,138.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,Skin,,,,,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,1/01/1990,1990,,,Australia,Tasmania,-42.9333,147.3333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Female,,,1996,,,Australia,Tasmania,-42.83,147.32,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,1883-01-01,1883,,,Australia,Queensland,-23.7,149.666,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,,,1/01/2003,2003,,,Australia,New South Wales,-33.61314,151.33049,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,1/01/1906,1906,,,Australia,South Australia,-34.9333,138.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,Skin,,,,,Australia,Queensland,-10.6833,142.5333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.72,145.15,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Male,,,1981,,,Australia,Tasmania,-42.93,147.26,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-32.883,148.9,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,Male,,,,,,Australia,New South Wales,-33.866,151.133,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,,,,1905,,,,,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Male,,,1905,,,Australia,Tasmania,-43.33,147.06,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-33.033,151.616,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,Female,,,1981,,,Australia,Tasmania,-42.18,147.39,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,,,,,Australia,New South Wales,-33.4,143.93,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,,1912,,,Australia,Tasmania,-42.78,147.07,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QVMAG,,skin,,1975,,,Australia,Tasmania,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,,,,,Australia,Western Australia,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,Not applicable,shell,1/01/1917,,,,Australia,Australian Capital Territory,-35.2833,149.1667,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,Not applicable,shell,1/01/1917,,,,Australia,Australian Capital Territory,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,TMAG,Female,,,1980,,,Australia,Tasmania,-42.88,147.32,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skeleton | Dry,,1964,,,Australia,Victoria,-37.67,144.43,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Female?,,,1986,,,Australia,Tasmania,-42.09,148.11,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.72,145.15,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Male,,,,,,Australia,New South Wales,-34.066,150.816,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,QM,Female,Skin,,,,,Australia,Queensland,-27.466667,153.016667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Unknown,Skeleton (part) | Dry,,,,,Australia,Victoria,-38.33,141.6,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,Female,Skin,,,,,Australia,Queensland,-27.5,152.983333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Female,,,,,,Australia,New South Wales,-34.183,150.616,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,NMV,Unknown,Wing | Dry,,1956,,,Australia,Victoria,-38.22,141.78,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,AM,Female,,,,,,Australia,New South Wales,-33.883,151.25,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,Female,,,1884,,,Australia,Tasmania,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,not recorded,skin,,,,,Australia,Tasmania,-41,145.7333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,TMAG,,,,,,,,,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,Male,,1891-01-01,1891,,,Australia,New South Wales,-33.483,150.166,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,Female,,,1980,,,Australia,Tasmania,-42.63,147.22,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Male,,,,,,Australia,Tasmania,-42.98,147.32,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,,Skin,1/01/1940,1940,,,Australia,South Australia,-34.2667,140.35,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,,,,1913,,,Australia,Queensland,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,MAGNT,,skin,,,,,Australia,Northern Territory,-12.667,132.883,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Queensland,-23.43,150.43,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,NMV,Male,Skin | Dry,,1912,,,Australia,Tasmania,-42.88,147.3,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Female,,,1982,,,Australia,Tasmania,-42.56,146.83,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,AM,Female,,,,,,Australia,New South Wales,-33.75,151.033,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,,,,,,,Australia,New South Wales,-34.066,150.816,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.7,145.1,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,,Egg clutch,,,,,Australia,South Australia,-35.3667,139.3167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,Female?,,,1986,,,Australia,Tasmania,-42.9,147.4,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,,,,,,,Australia,New South Wales,-33.416,149.583,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,AM,Male,,,,,,Australia,New South Wales,-33.75,151.066,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,TMAG,,,,,,,Australia,Tasmania,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Female,,,1979,,,Australia,Tasmania,-42.63,147.22,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,female,skeleton complete,,,,,Australia,South Australia,-35.65,137.6333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,Female,,,1983,,,Australia,Tasmania,-41.81,145.62,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,WAM,Unknown,Eggs,,,,,,,,,,,Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skeleton | Dry,,1964,,,Australia,Victoria,-37.67,144.43,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Male,,,,,,Australia,New South Wales,-34.45,147.533,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,unknown,skeleton complete,1/01/1974,1974,,,Australia,Australian Capital Territory,-35.25,149.05,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Mount | Dry,,,,,Australia,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,,,,,Australia,Queensland,-28.083333,153.366667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-36.05,145.85,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,QM,Male,Skin,,,,,Papua New Guinea,,,,,Accipiter poliocephalus,Accipiter,
,SAMA,Male,Skin,,,,,Australia,New South Wales,-31.97,141.45,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,,Skeleton,,,,,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Mount | Dry,,,,,Australia,Victoria,-38.25,145.28,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,TMAG,Female,,,1981,,,Australia,Tasmania,-43.02,147.93,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,WAM,Unknown,Skin,,,,,Australia,,,,,,Accipiter (Leucospiza) fasciatus,
,TMAG,Female,,,1981,,,Australia,Tasmania,-42.97,147.19,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,,Egg(s),,,,,Australia,,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,,,,,,,Australia,New South Wales,-29.766,152.933,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,,,,1898,,,Australia,Tasmania,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,TMAG,,,,1895,,,Australia,Tasmania,-42.78,147.25,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,,Egg clutch,1884-01-01,1884,,,Australia,South Australia,-30.45,138.2167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,Male,,,1965,,,Australia,Tasmania,-42.99,147.19,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skeleton | Dry,,1964,,,Australia,Victoria,-37.67,144.43,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,,,,,,,Australia,New South Wales,-33.883,151.133,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,ANWC,female,skin,1/01/1992,1992,,,Australia,New South Wales,-37.0083,149.9083,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.77,145.05,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,TMAG,Male,,,1903,,,Australia,Tasmania,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,,,,,Australia,Queensland,-27.033333,149.183333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,,Skeleton | Dry,,,,,Australia,Victoria,-37.57,143.85,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,,Egg(s),,,,,Australia,Queensland,-23.9,149.833333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,Uncertain,Skin,,,,,Solomon Islands,,-10.283333,161.75,EPSG:4326,Accipiter albogularis,Accipiter,albogularis
,TMAG,Female,,,1874,,,Australia,Tasmania,-42.84,147.28,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,AM,,,,,,,Australia,New South Wales,-33.75,151.083,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,SAMA,,Skin,,,,,Australia,Tasmania,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Male,,,,,,Australia,New South Wales,-33.733,150.45,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,NMV,Male,Skin | Dry,,,,,Australia,Victoria,-37.35,143.33,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skeleton,,,,,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,TMAG,Male,,,1984,,,Australia,Tasmania,-42.87,147.29,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,,,1883-01-01,1883,,,Australia,Queensland,-23.866,149.566,EPSG:4326,"Erythrotriorchis radiatus (Latham, 1801)",Erythrotriorchis radiatus,
,TMAG,,,,,,,,,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,AM,Female,,,,,,Australia,New South Wales,-33.883,151.216,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,NMV,Female,Skin | Dry,,,,,Australia,Victoria,-38.4,143.9,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,AM,,,,,,,Australia,New South Wales,-33.883,151.116,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,SAMA,Unknown,skeleton,1/01/2006,2006,,,Australia,South Australia,-30.3714,136.9253,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
